# KERISE v6 Build: Jan 28 2024 00:35:02 Comment: pwm: 0.080000
timestamp_us	enc_pulses_0	enc_pulses_1	enc_position_0	enc_position_1
9.820000e+02	8.740000e+03	7.897000e+03	-2.131712e+01	1.926102e+01
1.759000e+03	8.647000e+03	7.991000e+03	-2.109029e+01	1.949028e+01
2.999000e+03	8.500000e+03	8.143000e+03	-2.073175e+01	1.986102e+01
3.752000e+03	8.410000e+03	8.236000e+03	-2.051224e+01	2.008785e+01
4.998000e+03	8.264000e+03	8.388000e+03	-2.015614e+01	2.045858e+01
5.752000e+03	8.175000e+03	8.480000e+03	-1.993907e+01	2.068297e+01
6.747000e+03	8.057000e+03	8.602000e+03	-1.965126e+01	2.098053e+01
7.834000e+03	7.927000e+03	8.734000e+03	-1.933419e+01	2.130248e+01
8.752000e+03	7.821000e+03	8.846000e+03	-1.907565e+01	2.157565e+01
9.938000e+03	7.683000e+03	8.989000e+03	-1.873906e+01	2.192444e+01
1.100200e+04	7.565000e+03	9.116000e+03	-1.845126e+01	2.223419e+01
1.174800e+04	7.478000e+03	9.206000e+03	-1.823906e+01	2.245370e+01
1.300200e+04	7.338000e+03	9.355000e+03	-1.789760e+01	2.281712e+01
1.375100e+04	7.252000e+03	9.444000e+03	-1.768784e+01	2.303419e+01
1.499800e+04	7.113000e+03	9.591000e+03	-1.734882e+01	2.339273e+01
1.575300e+04	7.028000e+03	9.681000e+03	-1.714150e+01	2.361225e+01
1.699800e+04	6.891000e+03	9.829000e+03	-1.680735e+01	2.397322e+01
1.775200e+04	6.807000e+03	9.919000e+03	-1.660247e+01	2.419273e+01
1.878300e+04	6.692000e+03	1.004300e+04	-1.632199e+01	2.449517e+01
1.978900e+04	6.583000e+03	1.016200e+04	-1.605613e+01	2.478542e+01
2.074100e+04	6.480000e+03	1.027600e+04	-1.580491e+01	2.506347e+01
2.175100e+04	6.373000e+03	1.039500e+04	-1.554393e+01	2.535371e+01
2.299800e+04	6.238000e+03	1.054400e+04	-1.521467e+01	2.571713e+01
2.382100e+04	6.147000e+03	1.064100e+04	-1.499271e+01	2.595371e+01
2.499800e+04	6.023000e+03	1.078000e+04	-1.469028e+01	2.629274e+01
2.575400e+04	5.942000e+03	1.086900e+04	-1.449271e+01	2.650981e+01
2.699800e+04	5.811000e+03	1.101400e+04	-1.417320e+01	2.686347e+01
2.775300e+04	5.731000e+03	1.110100e+04	-1.397808e+01	2.707567e+01
2.899800e+04	5.601000e+03	1.124500e+04	-1.366100e+01	2.742689e+01
2.987300e+04	5.508000e+03	1.134500e+04	-1.343417e+01	2.767079e+01
3.073700e+04	5.417000e+03	1.144500e+04	-1.321222e+01	2.791469e+01
3.175900e+04	5.313000e+03	1.156000e+04	-1.295856e+01	2.819518e+01
3.275100e+04	5.210000e+03	1.167400e+04	-1.270734e+01	2.847323e+01
3.400100e+04	5.083000e+03	1.181500e+04	-1.239759e+01	2.881713e+01
3.475100e+04	5.005000e+03	1.190100e+04	-1.220734e+01	2.902689e+01
3.600400e+04	4.879000e+03	1.204300e+04	-1.190003e+01	2.937323e+01
3.675400e+04	4.802000e+03	1.212900e+04	-1.171222e+01	2.958299e+01
3.799400e+04	4.677000e+03	1.227100e+04	-1.140734e+01	2.992933e+01
3.882200e+04	4.592000e+03	1.236500e+04	-1.120002e+01	3.015860e+01
4.000000e+04	4.476000e+03	1.250000e+04	-1.091710e+01	3.048787e+01
4.075300e+04	4.400000e+03	1.258600e+04	-1.073173e+01	3.069763e+01
4.175200e+04	4.299000e+03	1.270200e+04	-1.048539e+01	3.098055e+01
4.278500e+04	4.193000e+03	1.282100e+04	-1.022685e+01	3.127080e+01
4.375200e+04	4.097000e+03	1.293100e+04	-9.992704e+00	3.153909e+01
4.473800e+04	3.995000e+03	1.304600e+04	-9.743923e+00	3.181958e+01
4.600200e+04	3.868000e+03	1.319200e+04	-9.434166e+00	3.217568e+01
4.675300e+04	3.790000e+03	1.328000e+04	-9.243922e+00	3.239031e+01
4.799400e+04	3.664000e+03	1.342700e+04	-8.936604e+00	3.274885e+01
4.882200e+04	3.578000e+03	1.352500e+04	-8.726848e+00	3.298787e+01
4.993800e+04	3.464000e+03	1.366000e+04	-8.448798e+00	3.331714e+01
5.100200e+04	3.359000e+03	1.378800e+04	-8.192700e+00	3.362934e+01
5.174800e+04	3.282000e+03	1.387900e+04	-8.004895e+00	3.385129e+01
5.278600e+04	3.176000e+03	1.400700e+04	-7.746358e+00	3.416349e+01
5.375900e+04	3.080000e+03	1.412600e+04	-7.512211e+00	3.445373e+01
5.475100e+04	2.979000e+03	1.425100e+04	-7.265869e+00	3.475861e+01
5.575100e+04	2.879000e+03	1.437600e+04	-7.021966e+00	3.506349e+01
5.700000e+04	2.754000e+03	1.453400e+04	-6.717087e+00	3.544886e+01
5.775100e+04	2.677000e+03	1.463000e+04	-6.529282e+00	3.568300e+01
5.900200e+04	2.551000e+03	1.478900e+04	-6.221964e+00	3.607081e+01
5.975200e+04	2.473000e+03	1.488600e+04	-6.031720e+00	3.630739e+01
6.100000e+04	2.346000e+03	1.504700e+04	-5.721963e+00	3.670008e+01
6.175100e+04	2.268000e+03	1.514500e+04	-5.531719e+00	3.693910e+01
6.300000e+04	2.140000e+03	1.530600e+04	-5.219523e+00	3.733179e+01
6.375100e+04	2.061000e+03	1.540400e+04	-5.026840e+00	3.757081e+01
6.478600e+04	1.953000e+03	1.553800e+04	-4.763425e+00	3.789764e+01
6.578900e+04	1.850000e+03	1.566700e+04	-4.512205e+00	3.821228e+01
6.676700e+04	1.751000e+03	1.579300e+04	-4.270741e+00	3.851959e+01
6.776200e+04	1.649000e+03	1.592100e+04	-4.021960e+00	3.883179e+01
6.899800e+04	1.522000e+03	1.608100e+04	-3.712203e+00	3.922203e+01
6.982100e+04	1.435000e+03	1.618600e+04	-3.500007e+00	3.947813e+01
7.099800e+04	1.315000e+03	1.633900e+04	-3.207324e+00	3.985130e+01
7.182300e+04	1.227000e+03	1.644500e+04	-2.992689e+00	4.010984e+01
7.299800e+04	1.107000e+03	1.659800e+04	-2.700006e+00	4.048301e+01
7.375300e+04	1.027000e+03	1.669500e+04	-2.504883e+00	4.071960e+01
7.499800e+04	8.960000e+02	1.685700e+04	-2.185370e+00	4.111472e+01
7.575300e+04	8.140000e+02	1.695500e+04	-1.985370e+00	4.135374e+01
7.699800e+04	6.790000e+02	1.711700e+04	-1.656101e+00	4.174887e+01
7.775300e+04	5.950000e+02	1.721500e+04	-1.451223e+00	4.198789e+01
7.878300e+04	4.790000e+02	1.735000e+04	-1.168295e+00	4.231716e+01
7.976200e+04	3.710000e+02	1.747700e+04	-9.048799e-01	4.262692e+01
8.075200e+04	2.590000e+02	1.760700e+04	-6.317086e-01	4.294399e+01
8.175100e+04	1.450000e+02	1.773800e+04	-3.536593e-01	4.326350e+01
8.300000e+04	3.000000e+00	1.790100e+04	-7.317089e-03	4.366107e+01
8.375100e+04	-8.400000e+01	1.799900e+04	2.048785e-01	4.390009e+01
8.500000e+04	-2.280000e+02	1.816300e+04	5.560987e-01	4.430009e+01
8.575100e+04	-3.160000e+02	1.826200e+04	7.707334e-01	4.454156e+01
8.700200e+04	-4.600000e+02	1.842600e+04	1.121954e+00	4.494156e+01
8.775100e+04	-5.490000e+02	1.852600e+04	1.339027e+00	4.518546e+01
8.900000e+04	-6.940000e+02	1.869100e+04	1.692686e+00	4.558790e+01
8.975800e+04	-7.830000e+02	1.879100e+04	1.909760e+00	4.583180e+01
9.075200e+04	-9.020000e+02	1.892400e+04	2.200005e+00	4.615619e+01
9.178700e+04	-1.025000e+03	1.906200e+04	2.500005e+00	4.649278e+01
9.275100e+04	-1.138000e+03	1.918900e+04	2.775616e+00	4.680254e+01
9.374100e+04	-1.257000e+03	1.932200e+04	3.065860e+00	4.712693e+01
9.500200e+04	-1.407000e+03	1.948900e+04	3.431715e+00	4.753424e+01
9.581200e+04	-1.509000e+03	1.959700e+04	3.680496e+00	4.779766e+01
9.700200e+04	-1.650000e+03	1.975400e+04	4.024399e+00	4.818059e+01
9.781200e+04	-1.753000e+03	1.986300e+04	4.275619e+00	4.844644e+01
9.900200e+04	-1.895000e+03	2.001900e+04	4.621961e+00	4.882693e+01
9.975100e+04	-1.989000e+03	2.011900e+04	4.851230e+00	4.907084e+01
1.010010e+05	-2.143000e+03	2.028300e+04	5.226840e+00	4.947084e+01
1.017510e+05	-2.238000e+03	2.038200e+04	5.458548e+00	4.971230e+01
1.027520e+05	-2.364000e+03	2.051400e+04	5.765866e+00	5.003425e+01
1.037890e+05	-2.496000e+03	2.065000e+04	6.087818e+00	5.036596e+01
1.047400e+05	-2.617000e+03	2.077500e+04	6.382940e+00	5.067084e+01
1.057510e+05	-2.745000e+03	2.090600e+04	6.695136e+00	5.099035e+01
1.069990e+05	-2.905000e+03	2.106900e+04	7.085381e+00	5.138791e+01
1.077530e+05	-3.003000e+03	2.116800e+04	7.324406e+00	5.162938e+01
1.089980e+05	-3.164000e+03	2.133300e+04	7.717089e+00	5.203182e+01
1.098230e+05	-3.274000e+03	2.144300e+04	7.985383e+00	5.230011e+01
1.109980e+05	-3.425000e+03	2.160200e+04	8.353676e+00	5.268792e+01
1.117530e+05	-3.525000e+03	2.170400e+04	8.597579e+00	5.293670e+01
1.129980e+05	-3.687000e+03	2.187400e+04	8.992702e+00	5.335133e+01
1.137530e+05	-3.787000e+03	2.197700e+04	9.236605e+00	5.360255e+01
1.147810e+05	-3.924000e+03	2.211900e+04	9.570752e+00	5.394889e+01
1.157890e+05	-4.055000e+03	2.225500e+04	9.890265e+00	5.428060e+01
1.167670e+05	-4.179000e+03	2.238800e+04	1.019270e+01	5.460499e+01
1.177620e+05	-4.309000e+03	2.252200e+04	1.050978e+01	5.493182e+01
1.189970e+05	-4.470000e+03	2.268900e+04	1.090246e+01	5.533914e+01
1.198220e+05	-4.580000e+03	2.279900e+04	1.117076e+01	5.560743e+01
1.209980e+05	-4.732000e+03	2.295600e+04	1.154149e+01	5.599036e+01
1.217530e+05	-4.831000e+03	2.305600e+04	1.178295e+01	5.623426e+01
1.229990e+05	-4.994000e+03	2.321800e+04	1.218051e+01	5.662939e+01
1.237530e+05	-5.093000e+03	2.331600e+04	1.242198e+01	5.686841e+01
1.249980e+05	-5.256000e+03	2.347500e+04	1.281954e+01	5.725622e+01
1.257530e+05	-5.355000e+03	2.357100e+04	1.306100e+01	5.749036e+01
1.267830e+05	-5.492000e+03	2.370100e+04	1.339515e+01	5.780744e+01
1.277890e+05	-5.622000e+03	2.382600e+04	1.371222e+01	5.811232e+01
1.287670e+05	-5.747000e+03	2.394600e+04	1.401710e+01	5.840500e+01
1.297740e+05	-5.875000e+03	2.406900e+04	1.432930e+01	5.870500e+01
1.309980e+05	-6.034000e+03	2.422000e+04	1.471710e+01	5.907330e+01
1.318230e+05	-6.143000e+03	2.432000e+04	1.498296e+01	5.931720e+01
1.329980e+05	-6.292000e+03	2.446400e+04	1.534637e+01	5.966842e+01
1.338300e+05	-6.402000e+03	2.456400e+04	1.561467e+01	5.991232e+01
1.349980e+05	-6.551000e+03	2.470700e+04	1.597808e+01	6.026110e+01
1.357530e+05	-6.649000e+03	2.479900e+04	1.621711e+01	6.048549e+01
1.369980e+05	-6.807000e+03	2.495000e+04	1.660247e+01	6.085379e+01
1.377590e+05	-6.903000e+03	2.504200e+04	1.683662e+01	6.107818e+01
1.387860e+05	-7.034000e+03	2.516800e+04	1.715613e+01	6.138549e+01
1.397890e+05	-7.159000e+03	2.529000e+04	1.746101e+01	6.168306e+01
1.407430e+05	-7.278000e+03	2.540700e+04	1.775126e+01	6.196842e+01
1.417520e+05	-7.401000e+03	2.552900e+04	1.805126e+01	6.226598e+01
1.429990e+05	-7.555000e+03	2.568100e+04	1.842687e+01	6.263672e+01
1.438220e+05	-7.658000e+03	2.578100e+04	1.867809e+01	6.288062e+01
1.449980e+05	-7.801000e+03	2.592500e+04	1.902687e+01	6.323184e+01
1.457530e+05	-7.893000e+03	2.601600e+04	1.925126e+01	6.345379e+01
1.469980e+05	-8.043000e+03	2.616500e+04	1.961712e+01	6.381721e+01
1.477590e+05	-8.135000e+03	2.625500e+04	1.984151e+01	6.403672e+01
1.489980e+05	-8.285000e+03	2.640200e+04	2.020736e+01	6.439526e+01
1.497590e+05	-8.376000e+03	2.649100e+04	2.042931e+01	6.461233e+01
1.507490e+05	-8.497000e+03	2.660800e+04	2.072443e+01	6.489770e+01
1.518220e+05	-8.625000e+03	2.673100e+04	2.103663e+01	6.519770e+01
1.527450e+05	-8.735000e+03	2.683800e+04	2.130492e+01	6.545867e+01
1.537510e+05	-8.853000e+03	2.695400e+04	2.159273e+01	6.574160e+01
1.550000e+05	-8.998000e+03	2.709900e+04	2.194639e+01	6.609526e+01
1.557510e+05	-9.087000e+03	2.718800e+04	2.216346e+01	6.631233e+01
1.570000e+05	-9.231000e+03	2.733400e+04	2.251468e+01	6.666843e+01
1.577510e+05	-9.319000e+03	2.742400e+04	2.272932e+01	6.688795e+01
1.590000e+05	-9.462000e+03	2.757100e+04	2.307810e+01	6.724648e+01
1.597510e+05	-9.549000e+03	2.766000e+04	2.329029e+01	6.746355e+01
1.610000e+05	-9.690000e+03	2.780800e+04	2.363420e+01	6.782453e+01
1.617520e+05	-9.776000e+03	2.789800e+04	2.384395e+01	6.804404e+01
1.627850e+05	-9.895000e+03	2.802000e+04	2.413420e+01	6.834161e+01
1.637590e+05	-1.000200e+04	2.813400e+04	2.439517e+01	6.861966e+01
1.647510e+05	-1.011400e+04	2.825200e+04	2.466834e+01	6.890746e+01
1.657530e+05	-1.022400e+04	2.836800e+04	2.493664e+01	6.919039e+01
1.670010e+05	-1.036100e+04	2.851400e+04	2.527078e+01	6.954649e+01
1.677520e+05	-1.044400e+04	2.860200e+04	2.547322e+01	6.976112e+01
1.690000e+05	-1.057900e+04	2.874600e+04	2.580249e+01	7.011234e+01
1.697580e+05	-1.066200e+04	2.883300e+04	2.600493e+01	7.032454e+01
1.710020e+05	-1.079500e+04	2.897600e+04	2.632932e+01	7.067332e+01
1.717510e+05	-1.087600e+04	2.906300e+04	2.652688e+01	7.088551e+01
1.730020e+05	-1.100800e+04	2.920600e+04	2.684884e+01	7.123430e+01
1.737510e+05	-1.108800e+04	2.929200e+04	2.704396e+01	7.144405e+01
1.748650e+05	-1.120600e+04	2.941900e+04	2.733176e+01	7.175381e+01
1.757530e+05	-1.129900e+04	2.952100e+04	2.755859e+01	7.200259e+01
1.767490e+05	-1.140400e+04	2.963600e+04	2.781469e+01	7.228308e+01
1.780040e+05	-1.153500e+04	2.978000e+04	2.813420e+01	7.263430e+01
1.787480e+05	-1.161600e+04	2.986800e+04	2.833177e+01	7.284893e+01
1.800040e+05	-1.174700e+04	3.001400e+04	2.865128e+01	7.320503e+01
1.807530e+05	-1.182700e+04	3.010300e+04	2.884640e+01	7.342210e+01
1.820010e+05	-1.195500e+04	3.025200e+04	2.915860e+01	7.378552e+01
1.827540e+05	-1.203300e+04	3.034300e+04	2.934884e+01	7.400747e+01
1.840000e+05	-1.216100e+04	3.049400e+04	2.966104e+01	7.437576e+01
1.848790e+05	-1.225400e+04	3.060200e+04	2.988787e+01	7.463918e+01
1.857460e+05	-1.234300e+04	3.071000e+04	3.010494e+01	7.490260e+01
1.867510e+05	-1.244500e+04	3.083600e+04	3.035372e+01	7.520992e+01
1.877530e+05	-1.254800e+04	3.096200e+04	3.060494e+01	7.551723e+01
1.889980e+05	-1.267500e+04	3.112000e+04	3.091470e+01	7.590260e+01
1.898220e+05	-1.276000e+04	3.122400e+04	3.112202e+01	7.615626e+01
1.909990e+05	-1.287800e+04	3.137600e+04	3.140982e+01	7.652699e+01
1.918210e+05	-1.296300e+04	3.148200e+04	3.161714e+01	7.678553e+01
1.929990e+05	-1.308000e+04	3.163500e+04	3.190251e+01	7.715870e+01
1.937530e+05	-1.315700e+04	3.173300e+04	3.209031e+01	7.739772e+01
