# KERISE v6 Build: Jan 28 2024 02:03:23 Comment: pwm: 0.080000
timestamp_us	enc_pulses_0	enc_pulses_1	enc_position_0	enc_position_1
3.380000e+02	8.427000e+03	4.170000e+02	-2.139928e+01	1.389067e+00
1.337000e+03	8.320000e+03	5.320000e+02	-2.115222e+01	1.657974e+00
2.335000e+03	8.212000e+03	6.460000e+02	-2.090140e+01	1.923850e+00
3.336000e+03	8.106000e+03	7.610000e+02	-2.065376e+01	2.191385e+00
4.336000e+03	7.999000e+03	8.760000e+02	-2.040230e+01	2.458268e+00
5.339000e+03	7.894000e+03	9.910000e+02	-2.015409e+01	2.724525e+00
6.338000e+03	7.788000e+03	1.107000e+03	-1.990203e+01	2.992492e+00
7.337000e+03	7.684000e+03	1.223000e+03	-1.965327e+01	3.259880e+00
8.338000e+03	7.580000e+03	1.339000e+03	-1.940306e+01	3.526720e+00
9.337000e+03	7.478000e+03	1.456000e+03	-1.915625e+01	3.795338e+00
1.033800e+04	7.377000e+03	1.574000e+03	-1.891047e+01	4.065754e+00
1.133700e+04	7.277000e+03	1.691000e+03	-1.866578e+01	4.333420e+00
1.233800e+04	7.176000e+03	1.809000e+03	-1.841726e+01	4.602947e+00
1.333700e+04	7.076000e+03	1.926000e+03	-1.816986e+01	4.869805e+00
1.433800e+04	6.976000e+03	2.045000e+03	-1.792111e+01	5.140870e+00
1.533700e+04	6.878000e+03	2.162000e+03	-1.767605e+01	5.407067e+00
1.633800e+04	6.780000e+03	2.281000e+03	-1.742971e+01	5.677538e+00
1.733700e+04	6.683000e+03	2.398000e+03	-1.718465e+01	5.943233e+00
1.833800e+04	6.587000e+03	2.517000e+03	-1.694091e+01	6.213274e+00
1.933600e+04	6.493000e+03	2.634000e+03	-1.670110e+01	6.478625e+00
2.033800e+04	6.398000e+03	2.752000e+03	-1.645759e+01	6.746134e+00
2.133900e+04	6.306000e+03	2.869000e+03	-1.622070e+01	7.011308e+00
2.233400e+04	6.214000e+03	2.986000e+03	-1.598276e+01	7.276453e+00
2.333500e+04	6.123000e+03	3.103000e+03	-1.574639e+01	7.541613e+00
2.433600e+04	6.031000e+03	3.220000e+03	-1.550642e+01	7.806825e+00
