# KERISE v6 Build: Jan 28 2024 02:20:36 Comment: pwm: 0.120000
timestamp_us	enc_pulses_0	enc_pulses_1	enc_position_0	enc_position_1
9.620000e+02	4.503000e+03	1.392700e+04	-1.139468e+01	3.436343e+01
1.977000e+03	4.271000e+03	1.416200e+04	-1.075431e+01	3.495452e+01
2.982000e+03	4.025000e+03	1.440400e+04	-1.007241e+01	3.555972e+01
4.000000e+03	3.794000e+03	1.463900e+04	-9.429999e+00	3.614389e+01
4.983000e+03	3.564000e+03	1.487400e+04	-8.788999e+00	3.672449e+01
6.001000e+03	3.334000e+03	1.511000e+04	-8.147248e+00	3.730392e+01
6.982000e+03	3.106000e+03	1.534400e+04	-7.510958e+00	3.787480e+01
8.001000e+03	2.878000e+03	1.558000e+04	-6.875162e+00	3.844689e+01
8.996000e+03	2.650000e+03	1.581700e+04	-6.240469e+00	3.901772e+01
9.988000e+03	2.425000e+03	1.605300e+04	-5.615794e+00	3.958253e+01
1.098100e+04	2.198000e+03	1.629000e+04	-4.987822e+00	4.014622e+01
1.200100e+04	1.972000e+03	1.652900e+04	-4.365422e+00	4.071119e+01
1.298200e+04	1.748000e+03	1.676700e+04	-3.751822e+00	4.127048e+01
1.400100e+04	1.523000e+03	1.700700e+04	-3.139280e+00	4.183132e+01
1.498200e+04	1.299000e+03	1.724600e+04	-2.533713e+00	4.238687e+01
1.600100e+04	1.074000e+03	1.748600e+04	-1.930155e+00	4.294201e+01
1.698200e+04	8.500000e+02	1.772400e+04	-1.334374e+00	4.349008e+01
1.800000e+04	6.250000e+02	1.796300e+04	-7.414181e-01	4.403826e+01
1.898200e+04	4.010000e+02	1.820100e+04	-1.568846e-01	4.458227e+01
2.000100e+04	1.760000e+02	1.843800e+04	4.241614e-01	4.512242e+01
2.098100e+04	-4.900000e+01	1.867300e+04	9.988564e-01	4.565677e+01
2.200200e+04	-2.760000e+02	1.890900e+04	1.572031e+00	4.619248e+01
2.299400e+04	-5.030000e+02	1.914300e+04	2.138398e+00	4.672306e+01
2.398900e+04	-7.310000e+02	1.937500e+04	2.700308e+00	4.724884e+01
2.499400e+04	-9.610000e+02	1.960900e+04	3.260046e+00	4.777922e+01
2.598800e+04	-1.190000e+03	1.984100e+04	3.810276e+00	4.830544e+01
2.698300e+04	-1.420000e+03	2.007400e+04	4.355864e+00	4.883463e+01
2.800000e+04	-1.651000e+03	2.030700e+04	4.896842e+00	4.936482e+01
2.898200e+04	-1.883000e+03	2.053900e+04	5.433293e+00	4.989405e+01
3.000000e+04	-2.115000e+03	2.077200e+04	5.963096e+00	5.042715e+01
3.098400e+04	-2.347000e+03	2.100400e+04	6.486532e+00	5.095984e+01
3.198600e+04	-2.583000e+03	2.123800e+04	7.012813e+00	5.149928e+01
3.298400e+04	-2.819000e+03	2.147500e+04	7.533257e+00	5.204811e+01
3.398600e+04	-3.051000e+03	2.171200e+04	8.039630e+00	5.259967e+01
3.499800e+04	-3.289000e+03	2.195300e+04	8.554186e+00	5.316354e+01
3.598400e+04	-3.525000e+03	2.219400e+04	9.060041e+00	5.373068e+01
3.698300e+04	-3.764000e+03	2.243700e+04	9.568475e+00	5.430598e+01
3.798800e+04	-4.003000e+03	2.267900e+04	1.007365e+01	5.488253e+01
3.898300e+04	-4.243000e+03	2.292200e+04	1.057832e+01	5.546519e+01
4.000100e+04	-4.484000e+03	2.316600e+04	1.108313e+01	5.605412e+01
4.099500e+04	-4.724000e+03	2.340900e+04	1.158461e+01	5.664454e+01
4.198800e+04	-4.963000e+03	2.365100e+04	1.208347e+01	5.723642e+01
4.299500e+04	-5.205000e+03	2.389400e+04	1.258878e+01	5.783462e+01
4.398800e+04	-5.443000e+03	2.413400e+04	1.308663e+01	5.842922e+01
4.498200e+04	-5.683000e+03	2.437400e+04	1.359026e+01	5.902750e+01
4.600000e+04	-5.922000e+03	2.461600e+04	1.409406e+01	5.963438e+01
4.698300e+04	-6.160000e+03	2.485700e+04	1.459867e+01	6.024220e+01
4.800200e+04	-6.399000e+03	2.509800e+04	1.510897e+01	6.085332e+01
4.898200e+04	-6.637000e+03	2.533800e+04	1.562130e+01	6.146496e+01
5.000100e+04	-6.875000e+03	2.557900e+04	1.613833e+01	6.208201e+01
5.098300e+04	-7.113000e+03	2.581800e+04	1.666062e+01	6.269652e+01
5.200000e+04	-7.353000e+03	2.605800e+04	1.719309e+01	6.331591e+01
5.298200e+04	-7.591000e+03	2.629700e+04	1.772732e+01	6.393475e+01
5.400200e+04	-7.832000e+03	2.653800e+04	1.827497e+01	6.456049e+01
5.498300e+04	-8.070000e+03	2.677600e+04	1.882273e+01	6.517986e+01
5.600100e+04	-8.310000e+03	2.701600e+04	1.938235e+01	6.580550e+01
5.698200e+04	-8.549000e+03	2.725400e+04	1.994708e+01	6.642664e+01
5.800000e+04	-8.789000e+03	2.749300e+04	2.052182e+01	6.705080e+01
5.898300e+04	-9.027000e+03	2.773000e+04	2.109942e+01	6.766978e+01
6.000100e+04	-9.266000e+03	2.796800e+04	2.168713e+01	6.829108e+01
6.098300e+04	-9.504000e+03	2.820300e+04	2.228000e+01	6.890392e+01
6.200200e+04	-9.743000e+03	2.843900e+04	2.288290e+01	6.951842e+01
6.299500e+04	-9.981000e+03	2.867400e+04	2.349062e+01	7.012905e+01
6.398800e+04	-1.021700e+04	2.890800e+04	2.410026e+01	7.073554e+01
6.498100e+04	-1.045400e+04	2.914200e+04	2.471923e+01	7.134019e+01
6.600100e+04	-1.069000e+04	2.937800e+04	2.534196e+01	7.194788e+01
6.698300e+04	-1.092500e+04	2.961200e+04	2.596801e+01	7.254803e+01
6.797600e+04	-1.114500e+04	2.984200e+04	2.655910e+01	7.313541e+01
6.899500e+04	-1.139500e+04	3.008500e+04	2.723616e+01	7.375301e+01
6.998900e+04	-1.162800e+04	3.032100e+04	2.787179e+01	7.434971e+01
7.098400e+04	-1.186200e+04	3.056000e+04	2.851408e+01	7.495070e+01
7.200000e+04	-1.209500e+04	3.079800e+04	2.915696e+01	7.554571e+01
7.298100e+04	-1.232800e+04	3.103700e+04	2.980258e+01	7.613963e+01
7.400200e+04	-1.256100e+04	3.127800e+04	3.045032e+01	7.673479e+01
7.498200e+04	-1.279400e+04	3.151800e+04	3.109955e+01	7.732369e+01
7.600100e+04	-1.302700e+04	3.176100e+04	3.174962e+01	7.791608e+01
7.698200e+04	-1.325800e+04	3.200200e+04	3.239430e+01	7.849972e+01
7.800100e+04	-1.348800e+04	3.224600e+04	3.303574e+01	7.908675e+01
7.898200e+04	-1.371800e+04	3.248700e+04	3.367610e+01	7.966281e+01
8.000100e+04	-1.394700e+04	3.272900e+04	3.431200e+01	8.023759e+01
8.098300e+04	-1.417400e+04	3.297000e+04	3.494011e+01	8.080649e+01
8.200200e+04	-1.440100e+04	3.321000e+04	3.556541e+01	8.136971e+01
8.299500e+04	-1.462800e+04	3.344900e+04	3.618739e+01	8.192747e+01
8.398600e+04	-1.485200e+04	3.368600e+04	3.679736e+01	8.247770e+01
8.499700e+04	-1.507900e+04	3.392300e+04	3.741119e+01	8.302533e+01
8.598800e+04	-1.530300e+04	3.415900e+04	3.801220e+01	8.356829e+01
8.698300e+04	-1.552900e+04	3.439400e+04	3.861345e+01	8.410690e+01
8.798900e+04	-1.575600e+04	3.463000e+04	3.921177e+01	8.464600e+01
8.898500e+04	-1.597900e+04	3.486300e+04	3.979379e+01	8.517678e+01
8.998700e+04	-1.620400e+04	3.509800e+04	4.037495e+01	8.571095e+01
9.099600e+04	-1.643200e+04	3.533200e+04	4.095737e+01	8.624200e+01
9.198500e+04	-1.665900e+04	3.556600e+04	4.153058e+01	8.677251e+01
9.298700e+04	-1.688600e+04	3.580100e+04	4.209697e+01	8.730508e+01
9.399700e+04	-1.711500e+04	3.603700e+04	4.266137e+01	8.784003e+01
9.498700e+04	-1.734400e+04	3.627100e+04	4.321869e+01	8.837091e+01
9.599800e+04	-1.757600e+04	3.650800e+04	4.377611e+01	8.890936e+01
9.699800e+04	-1.780700e+04	3.674300e+04	4.432400e+01	8.944437e+01
9.797100e+04	-1.802400e+04	3.697300e+04	4.483230e+01	8.996936e+01
9.899900e+04	-1.827300e+04	3.721700e+04	4.540814e+01	9.052808e+01
9.999600e+04	-1.850800e+04	3.745500e+04	4.594458e+01	9.107513e+01
1.009980e+05	-1.874400e+04	3.769400e+04	4.647674e+01	9.162680e+01
1.019840e+05	-1.898100e+04	3.793400e+04	4.700490e+01	9.218340e+01
1.029870e+05	-1.921900e+04	3.817600e+04	4.752940e+01	9.274756e+01
1.039720e+05	-1.944300e+04	3.841200e+04	4.801806e+01	9.330075e+01
1.050000e+05	-1.969800e+04	3.866200e+04	4.856903e+01	9.389021e+01
1.059840e+05	-1.993900e+04	3.890600e+04	4.908512e+01	9.446913e+01
1.069870e+05	-2.018000e+04	3.915000e+04	4.959735e+01	9.505177e+01
1.079970e+05	-2.042300e+04	3.939600e+04	5.011056e+01	9.564303e+01
1.089870e+05	-2.066500e+04	3.964000e+04	5.061908e+01	9.623341e+01
1.099980e+05	-2.090900e+04	3.988700e+04	5.112993e+01	9.683504e+01
1.109870e+05	-2.114900e+04	4.013200e+04	5.163127e+01	9.743580e+01
1.119980e+05	-2.139300e+04	4.037900e+04	5.214055e+01	9.804545e+01
1.129990e+05	-2.163400e+04	4.062500e+04	5.264388e+01	9.865656e+01
1.139850e+05	-2.187500e+04	4.087100e+04	5.314826e+01	9.927149e+01
1.149870e+05	-2.211700e+04	4.111800e+04	5.365651e+01	9.989262e+01
1.159980e+05	-2.235900e+04	4.136600e+04	5.416722e+01	1.005198e+02
1.169990e+05	-2.259900e+04	4.161200e+04	5.467683e+01	1.011453e+02
1.179850e+05	-2.283900e+04	4.185800e+04	5.519018e+01	1.017739e+02
1.189870e+05	-2.308000e+04	4.210400e+04	5.571006e+01	1.024053e+02
1.199980e+05	-2.332200e+04	4.235000e+04	5.623711e+01	1.030393e+02
1.209870e+05	-2.356100e+04	4.259300e+04	5.676308e+01	1.036677e+02
1.219980e+05	-2.380400e+04	4.283800e+04	5.730390e+01	1.043033e+02
1.229990e+05	-2.404500e+04	4.308000e+04	5.784674e+01	1.049326e+02
1.239850e+05	-2.428600e+04	4.332200e+04	5.839641e+01	1.055631e+02
1.249880e+05	-2.452700e+04	4.356400e+04	5.895322e+01	1.061945e+02
1.259980e+05	-2.477000e+04	4.380600e+04	5.952217e+01	1.068264e+02
1.269990e+05	-2.501100e+04	4.404700e+04	6.009409e+01	1.074559e+02
1.279840e+05	-2.525300e+04	4.428800e+04	6.067618e+01	1.080851e+02
1.289880e+05	-2.549300e+04	4.452900e+04	6.126125e+01	1.087138e+02
1.299970e+05	-2.573600e+04	4.477100e+04	6.186155e+01	1.093442e+02
1.310000e+05	-2.597600e+04	4.501100e+04	6.246217e+01	1.099681e+02
1.319840e+05	-2.621700e+04	4.525100e+04	6.307292e+01	1.105905e+02
1.329880e+05	-2.645700e+04	4.549300e+04	6.368852e+01	1.112161e+02
1.339980e+05	-2.669800e+04	4.573400e+04	6.431385e+01	1.118370e+02
1.349870e+05	-2.693700e+04	4.597500e+04	6.494076e+01	1.124553e+02
1.359850e+05	-2.717800e+04	4.621600e+04	6.557938e+01	1.130710e+02
1.369850e+05	-2.741700e+04	4.645700e+04	6.621867e+01	1.136836e+02
1.379660e+05	-2.763900e+04	4.669000e+04	6.681740e+01	1.142729e+02
1.389840e+05	-2.789200e+04	4.693900e+04	6.750496e+01	1.148992e+02
1.399970e+05	-2.813400e+04	4.718100e+04	6.816727e+01	1.155043e+02
1.409870e+05	-2.836800e+04	4.742300e+04	6.881138e+01	1.161057e+02
1.419840e+05	-2.860500e+04	4.766500e+04	6.946685e+01	1.167032e+02
1.429990e+05	-2.884400e+04	4.790900e+04	7.013039e+01	1.173019e+02
1.439720e+05	-2.906600e+04	4.814600e+04	7.074839e+01	1.178796e+02
1.449990e+05	-2.931800e+04	4.839600e+04	7.145115e+01	1.184849e+02
1.459850e+05	-2.955200e+04	4.863900e+04	7.210420e+01	1.190694e+02
1.469880e+05	-2.978600e+04	4.888300e+04	7.275705e+01	1.196525e+02
1.479980e+05	-3.001800e+04	4.912800e+04	7.340345e+01	1.202342e+02
1.489870e+05	-3.024800e+04	4.937000e+04	7.404282e+01	1.208052e+02
1.499980e+05	-3.048000e+04	4.961400e+04	7.468563e+01	1.213775e+02
1.509870e+05	-3.070800e+04	4.985600e+04	7.531471e+01	1.219420e+02
1.519970e+05	-3.093700e+04	5.009900e+04	7.594335e+01	1.225059e+02
1.529870e+05	-3.116400e+04	5.034000e+04	7.656280e+01	1.230624e+02
1.539980e+05	-3.139300e+04	5.058200e+04	7.718345e+01	1.236189e+02
1.549990e+05	-3.161900e+04	5.082200e+04	7.779133e+01	1.241686e+02
1.559850e+05	-3.184600e+04	5.106000e+04	7.839682e+01	1.247120e+02
1.570010e+05	-3.207400e+04	5.130000e+04	7.899947e+01	1.252584e+02
1.579840e+05	-3.230200e+04	5.153700e+04	7.959623e+01	1.257969e+02
1.589880e+05	-3.253000e+04	5.177400e+04	8.018679e+01	1.263346e+02
1.599970e+05	-3.276000e+04	5.201200e+04	8.077600e+01	1.268741e+02
1.609870e+05	-3.298900e+04	5.224900e+04	8.135590e+01	1.274112e+02
1.619970e+05	-3.322000e+04	5.248600e+04	8.193387e+01	1.279485e+02
1.629990e+05	-3.345000e+04	5.272300e+04	8.250226e+01	1.284864e+02
1.639850e+05	-3.368200e+04	5.296100e+04	8.306836e+01	1.290274e+02
1.649880e+05	-3.391400e+04	5.320000e+04	8.362721e+01	1.295719e+02
1.659720e+05	-3.413300e+04	5.343400e+04	8.414816e+01	1.301065e+02
1.669990e+05	-3.438300e+04	5.368100e+04	8.473511e+01	1.306728e+02
1.679840e+05	-3.461800e+04	5.392300e+04	8.527953e+01	1.312298e+02
1.689860e+05	-3.485500e+04	5.416600e+04	8.582162e+01	1.317916e+02
1.699840e+05	-3.509300e+04	5.441100e+04	8.635928e+01	1.323609e+02
1.709870e+05	-3.533300e+04	5.465800e+04	8.689500e+01	1.329380e+02
1.719850e+05	-3.557300e+04	5.490600e+04	8.742465e+01	1.335207e+02
1.729870e+05	-3.581200e+04	5.515300e+04	8.794655e+01	1.341047e+02
1.739970e+05	-3.605500e+04	5.540300e+04	8.847200e+01	1.346995e+02
1.749870e+05	-3.629500e+04	5.565200e+04	8.898643e+01	1.352959e+02
1.759980e+05	-3.653900e+04	5.590300e+04	8.950542e+01	1.359012e+02
1.769870e+05	-3.678100e+04	5.615100e+04	9.001685e+01	1.365033e+02
1.779980e+05	-3.702500e+04	5.640100e+04	9.052981e+01	1.371144e+02
1.789870e+05	-3.726800e+04	5.664800e+04	9.103872e+01	1.377222e+02
1.799980e+05	-3.751300e+04	5.689700e+04	9.155058e+01	1.383389e+02
1.810000e+05	-3.775700e+04	5.714500e+04	9.205986e+01	1.389571e+02
1.819840e+05	-3.800100e+04	5.739300e+04	9.256941e+01	1.395791e+02
1.829990e+05	-3.824500e+04	5.764200e+04	9.307998e+01	1.402073e+02
1.839840e+05	-3.849000e+04	5.789100e+04	9.359441e+01	1.408390e+02
1.849870e+05	-3.873400e+04	5.813900e+04	9.410923e+01	1.414714e+02
1.859970e+05	-3.898000e+04	5.838800e+04	9.463148e+01	1.421094e+02
1.870000e+05	-3.922400e+04	5.863600e+04	9.515339e+01	1.427475e+02
1.879840e+05	-3.946900e+04	5.888200e+04	9.568197e+01	1.433829e+02
1.889870e+05	-3.971300e+04	5.912800e+04	9.621350e+01	1.440203e+02
1.899850e+05	-3.995700e+04	5.937400e+04	9.675070e+01	1.446595e+02
1.909850e+05	-4.020300e+04	5.961800e+04	9.729855e+01	1.452948e+02
1.920000e+05	-4.044900e+04	5.986200e+04	9.785315e+01	1.459311e+02
1.929880e+05	-4.069000e+04	6.010500e+04	9.840340e+01	1.465655e+02
1.939840e+05	-4.093400e+04	6.034700e+04	9.896781e+01	1.471975e+02
1.949840e+05	-4.117900e+04	6.058900e+04	9.954221e+01	1.478295e+02
1.959870e+05	-4.142600e+04	6.083200e+04	1.001293e+02	1.484636e+02
1.969830e+05	-4.166600e+04	6.107400e+04	1.007075e+02	1.490944e+02
1.980010e+05	-4.190900e+04	6.131800e+04	1.013009e+02	1.497291e+02
1.989940e+05	-4.215100e+04	6.156200e+04	1.018998e+02	1.503624e+02
1.999880e+05	-4.239200e+04	6.180300e+04	1.025039e+02	1.509861e+02
2.009830e+05	-4.263400e+04	6.204400e+04	1.031182e+02	1.516076e+02
2.020010e+05	-4.287500e+04	6.228400e+04	1.037374e+02	1.522242e+02
