# KERISE v6 Build: Jan 28 2024 17:20:15 Comment: pwm: 0.080000
timestamp_us	enc_pulses_0	enc_pulses_1	enc_position_0	enc_position_1
9.570000e+02	9.758000e+03	1.180300e+04	-2.409406e+01	2.884628e+01
1.957000e+03	9.607000e+03	1.193400e+04	-2.374715e+01	2.917509e+01
2.957000e+03	9.455000e+03	1.206600e+04	-2.339687e+01	2.950624e+01
3.957000e+03	9.305000e+03	1.219700e+04	-2.305008e+01	2.983468e+01
4.957000e+03	9.155000e+03	1.232800e+04	-2.270212e+01	3.016291e+01
5.958000e+03	9.006000e+03	1.245800e+04	-2.235526e+01	3.048839e+01
6.957000e+03	8.857000e+03	1.259000e+04	-2.200713e+01	3.081862e+01
7.957000e+03	8.709000e+03	1.272100e+04	-2.166002e+01	3.114607e+01
8.957000e+03	8.559000e+03	1.285400e+04	-2.130686e+01	3.147820e+01
9.957000e+03	8.411000e+03	1.298700e+04	-2.095700e+01	3.181001e+01
1.095700e+04	8.261000e+03	1.312300e+04	-2.060096e+01	3.214894e+01
1.195700e+04	8.112000e+03	1.325900e+04	-2.024581e+01	3.248749e+01
1.295700e+04	7.963000e+03	1.339600e+04	-1.988916e+01	3.282811e+01
1.395700e+04	7.817000e+03	1.353500e+04	-1.953821e+01	3.317327e+01
1.495700e+04	7.671000e+03	1.367500e+04	-1.918579e+01	3.352046e+01
1.595700e+04	7.526000e+03	1.381600e+04	-1.883429e+01	3.386964e+01
1.695700e+04	7.380000e+03	1.395900e+04	-1.847889e+01	3.422325e+01
1.795700e+04	7.236000e+03	1.410200e+04	-1.812687e+01	3.457634e+01
1.895800e+04	7.091000e+03	1.424600e+04	-1.777095e+01	3.493134e+01
1.995700e+04	6.949000e+03	1.439100e+04	-1.742096e+01	3.528824e+01
2.095700e+04	6.806000e+03	1.453700e+04	-1.706709e+01	3.564701e+01
2.195700e+04	6.665000e+03	1.468200e+04	-1.671680e+01	3.600274e+01
2.295700e+04	6.524000e+03	1.482800e+04	-1.636516e+01	3.636031e+01
2.395700e+04	6.385000e+03	1.497200e+04	-1.601721e+01	3.671239e+01
2.495700e+04	6.246000e+03	1.511600e+04	-1.566800e+01	3.706387e+01
2.595700e+04	6.107000e+03	1.525900e+04	-1.531756e+01	3.741233e+01
2.695700e+04	5.969000e+03	1.540200e+04	-1.496845e+01	3.776019e+01
2.795700e+04	5.831000e+03	1.554500e+04	-1.461819e+01	3.810748e+01
2.895700e+04	5.691000e+03	1.568800e+04	-1.426173e+01	3.845418e+01
2.995700e+04	5.552000e+03	1.583100e+04	-1.390672e+01	3.880031e+01
3.095700e+04	5.413000e+03	1.597400e+04	-1.355068e+01	3.914587e+01
3.195700e+04	5.275000e+03	1.611700e+04	-1.319621e+01	3.949088e+01
3.295700e+04	5.139000e+03	1.626100e+04	-1.284598e+01	3.983775e+01
3.395700e+04	5.005000e+03	1.640500e+04	-1.250008e+01	4.018408e+01
3.495700e+04	4.870000e+03	1.654900e+04	-1.215080e+01	4.052989e+01
3.595700e+04	4.737000e+03	1.669300e+04	-1.180599e+01	4.087519e+01
3.695700e+04	4.604000e+03	1.683700e+04	-1.146052e+01	4.122001e+01
3.795700e+04	4.471000e+03	1.698200e+04	-1.111446e+01	4.156674e+01
3.895800e+04	4.337000e+03	1.712800e+04	-1.076523e+01	4.191540e+01
3.995700e+04	4.205000e+03	1.727400e+04	-1.042074e+01	4.226363e+01
4.095700e+04	4.072000e+03	1.742100e+04	-1.007321e+01	4.261382e+01
4.195700e+04	3.941000e+03	1.756900e+04	-9.730544e+00	4.296600e+01
4.295700e+04	3.810000e+03	1.771700e+04	-9.387582e+00	4.331781e+01
4.395700e+04	3.679000e+03	1.786500e+04	-9.044379e+00	4.366928e+01
4.495700e+04	3.548000e+03	1.801300e+04	-8.700997e+00	4.402044e+01
4.595700e+04	3.418000e+03	1.816200e+04	-8.360119e+00	4.437369e+01
4.695700e+04	3.287000e+03	1.831100e+04	-8.016560e+00	4.472670e+01
4.795700e+04	3.157000e+03	1.846100e+04	-7.675623e+00	4.508186e+01
4.895700e+04	3.026000e+03	1.861000e+04	-7.332127e+00	4.543447e+01
4.995700e+04	2.898000e+03	1.876000e+04	-6.996613e+00	4.578930e+01
5.095700e+04	2.768000e+03	1.890900e+04	-6.656035e+00	4.614165e+01
5.195700e+04	2.640000e+03	1.905900e+04	-6.320927e+00	4.649631e+01
5.295700e+04	2.511000e+03	1.920800e+04	-5.983489e+00	4.684856e+01
5.395700e+04	2.383000e+03	1.935800e+04	-5.649007e+00	4.720317e+01
5.495700e+04	2.254000e+03	1.950700e+04	-5.312310e+00	4.755546e+01
5.595700e+04	2.124000e+03	1.965600e+04	-4.973462e+00	4.790782e+01
5.695700e+04	1.992000e+03	1.980600e+04	-4.629927e+00	4.826266e+01
5.795700e+04	1.861000e+03	1.995500e+04	-4.289574e+00	4.861528e+01
5.895800e+04	1.729000e+03	2.010400e+04	-3.947260e+00	4.896808e+01
5.995700e+04	1.597000e+03	2.025300e+04	-3.605637e+00	4.932110e+01
6.095700e+04	1.464000e+03	2.040200e+04	-3.262176e+00	4.967437e+01
6.195700e+04	1.332000e+03	2.055000e+04	-2.922091e+00	5.002554e+01
6.295700e+04	1.199000e+03	2.070000e+04	-2.580276e+00	5.038179e+01
6.395700e+04	1.066000e+03	2.085000e+04	-2.239357e+00	5.073837e+01
6.495700e+04	9.330000e+02	2.100000e+04	-1.899375e+00	5.109534e+01
6.595700e+04	8.010000e+02	2.115100e+04	-1.562917e+00	5.145511e+01
6.695700e+04	6.670000e+02	2.130300e+04	-1.222385e+00	5.181771e+01
6.795700e+04	5.340000e+02	2.145600e+04	-8.854504e-01	5.218318e+01
6.895700e+04	4.000000e+02	2.160900e+04	-5.470793e-01	5.254916e+01
6.995700e+04	2.670000e+02	2.176200e+04	-2.123521e-01	5.291568e+01
7.095700e+04	1.320000e+02	2.191600e+04	1.262412e-01	5.328515e+01
7.195700e+04	-3.000000e+00	2.206900e+04	4.636323e-01	5.365281e+01
7.295700e+04	-1.400000e+02	2.222200e+04	8.047749e-01	5.402107e+01
7.395700e+04	-2.780000e+02	2.237500e+04	1.147111e+00	5.438995e+01
7.495700e+04	-4.170000e+02	2.252800e+04	1.490602e+00	5.475945e+01
7.595700e+04	-5.570000e+02	2.268000e+04	1.835205e+00	5.512718e+01
7.695700e+04	-6.980000e+02	2.283200e+04	2.180881e+00	5.549555e+01
7.795700e+04	-8.400000e+02	2.298200e+04	2.527592e+00	5.585972e+01
7.895800e+04	-9.840000e+02	2.313300e+04	2.877740e+00	5.622697e+01
7.995700e+04	-1.127000e+03	2.328200e+04	3.224014e+00	5.658998e+01
8.095700e+04	-1.273000e+03	2.343100e+04	3.576077e+00	5.695364e+01
8.195700e+04	-1.418000e+03	2.357900e+04	3.924270e+00	5.731549e+01
8.295700e+04	-1.564000e+03	2.372600e+04	4.273406e+00	5.767552e+01
8.395700e+04	-1.711000e+03	2.387400e+04	4.623483e+00	5.803861e+01
8.495700e+04	-1.859000e+03	2.402100e+04	4.974496e+00	5.839986e+01
8.595700e+04	-2.007000e+03	2.416900e+04	5.324092e+00	5.876416e+01
8.695700e+04	-2.156000e+03	2.431600e+04	5.674652e+00	5.912660e+01
8.795700e+04	-2.304000e+03	2.446300e+04	6.021518e+00	5.948960e+01
8.895700e+04	-2.454000e+03	2.461000e+04	6.371748e+00	5.985318e+01
8.995700e+04	-2.603000e+03	2.475600e+04	6.718378e+00	6.021482e+01
9.095700e+04	-2.753000e+03	2.490200e+04	7.066116e+00	6.057697e+01
9.195700e+04	-2.903000e+03	2.504600e+04	7.412692e+00	6.093465e+01
9.295700e+04	-3.055000e+03	2.519000e+04	7.762769e+00	6.129281e+01
9.378100e+04	-3.183000e+03	2.530800e+04	8.056746e+00	6.158663e+01
9.477300e+04	-3.335000e+03	2.544900e+04	8.404929e+00	6.193809e+01
9.577800e+04	-3.489000e+03	2.559100e+04	8.756757e+00	6.229244e+01
9.695800e+04	-3.671000e+03	2.575900e+04	9.171449e+00	6.271215e+01
9.795700e+04	-3.827000e+03	2.590000e+04	9.526049e+00	6.306478e+01
9.895800e+04	-3.984000e+03	2.603900e+04	9.882231e+00	6.341270e+01
9.995700e+04	-4.141000e+03	2.617800e+04	1.023781e+01	6.376090e+01
1.009570e+05	-4.298000e+03	2.631600e+04	1.059290e+01	6.410684e+01
1.019570e+05	-4.455000e+03	2.645300e+04	1.094758e+01	6.445050e+01
1.029570e+05	-4.612000e+03	2.658800e+04	1.130197e+01	6.478932e+01
1.039570e+05	-4.767000e+03	2.672400e+04	1.165165e+01	6.513081e+01
1.049570e+05	-4.922000e+03	2.686000e+04	1.200125e+01	6.547245e+01
1.059580e+05	-5.076000e+03	2.699500e+04	1.234860e+01	6.581168e+01
