# KERISE v6 Build: Jan 28 2024 17:26:43 Comment: pwm: 0.080000
timestamp_us	enc_pulses_0	enc_pulses_1	enc_position_0	enc_position_1
5.600000e+02	5.672000e+03	2.413000e+03	-1.421326e+01	5.915748e+00
1.560000e+03	5.531000e+03	2.560000e+03	-1.385299e+01	6.263355e+00
2.560000e+03	5.393000e+03	2.704000e+03	-1.349936e+01	6.603808e+00
3.560000e+03	5.255000e+03	2.851000e+03	-1.314476e+01	6.951327e+00
4.560000e+03	5.119000e+03	2.995000e+03	-1.279441e+01	7.291760e+00
5.560000e+03	4.980000e+03	3.143000e+03	-1.243545e+01	7.641693e+00
6.560000e+03	4.842000e+03	3.288000e+03	-1.207827e+01	7.984607e+00
7.560000e+03	4.703000e+03	3.436000e+03	-1.171774e+01	8.334727e+00
8.560000e+03	4.565000e+03	3.581000e+03	-1.135911e+01	8.677895e+00
9.560000e+03	4.428000e+03	3.729000e+03	-1.100245e+01	9.028340e+00
1.056000e+04	4.293000e+03	3.875000e+03	-1.065045e+01	9.374261e+00
1.156000e+04	4.158000e+03	4.022000e+03	-1.029797e+01	9.722795e+00
1.256000e+04	4.025000e+03	4.167000e+03	-9.950306e+00	1.006686e+01
1.356000e+04	3.893000e+03	4.315000e+03	-9.604910e+00	1.041835e+01
1.456000e+04	3.761000e+03	4.460000e+03	-9.259233e+00	1.076304e+01
1.556000e+04	3.628000e+03	4.608000e+03	-8.910714e+00	1.111524e+01
1.656100e+04	3.496000e+03	4.754000e+03	-8.564657e+00	1.146306e+01
1.756000e+04	3.363000e+03	4.903000e+03	-8.215879e+00	1.181846e+01
1.856000e+04	3.231000e+03	5.049000e+03	-7.869691e+00	1.216715e+01
1.956000e+04	3.098000e+03	5.199000e+03	-7.520907e+00	1.252587e+01
2.056000e+04	2.966000e+03	5.347000e+03	-7.174837e+00	1.288031e+01
2.156000e+04	2.834000e+03	5.498000e+03	-6.828918e+00	1.324247e+01
2.256200e+04	2.703000e+03	5.648000e+03	-6.485830e+00	1.360279e+01
2.356800e+04	2.573000e+03	5.797000e+03	-6.145628e+00	1.396127e+01
2.456900e+04	2.440000e+03	5.949000e+03	-5.797910e+00	1.432756e+01
2.556000e+04	2.310000e+03	6.099000e+03	-5.458420e+00	1.468965e+01
2.656000e+04	2.180000e+03	6.247000e+03	-5.119367e+00	1.504751e+01
2.756000e+04	2.048000e+03	6.398000e+03	-4.775601e+00	1.541325e+01
2.856000e+04	1.917000e+03	6.546000e+03	-4.434995e+00	1.577234e+01
2.956000e+04	1.785000e+03	6.695000e+03	-4.092403e+00	1.613450e+01
3.056000e+04	1.653000e+03	6.842000e+03	-3.750480e+00	1.649241e+01
3.156000e+04	1.520000e+03	6.991000e+03	-3.406696e+00	1.685583e+01
3.256000e+04	1.388000e+03	7.137000e+03	-3.066270e+00	1.721255e+01
3.356000e+04	1.254000e+03	7.284000e+03	-2.721522e+00	1.757233e+01
3.456000e+04	1.121000e+03	7.429000e+03	-2.380227e+00	1.792782e+01
3.556000e+04	9.860000e+02	7.576000e+03	-2.034741e+00	1.828882e+01
3.656100e+04	8.520000e+02	7.719000e+03	-1.692795e+00	1.864057e+01
3.756000e+04	7.150000e+02	7.865000e+03	-1.344246e+00	1.900028e+01
3.856000e+04	5.790000e+02	8.008000e+03	-9.993309e-01	1.935315e+01
3.956000e+04	4.400000e+02	8.153000e+03	-6.479685e-01	1.971150e+01
4.056000e+04	3.020000e+02	8.295000e+03	-3.003286e-01	2.006296e+01
4.156000e+04	1.620000e+02	8.439000e+03	5.110123e-02	2.041989e+01
4.256000e+04	2.100000e+01	8.580000e+03	4.037413e-01	2.076986e+01
4.356000e+04	-1.210000e+02	8.722000e+03	7.575378e-01	2.112277e+01
4.456000e+04	-2.630000e+02	8.861000e+03	1.109963e+00	2.146866e+01
4.556000e+04	-4.050000e+02	9.001000e+03	1.461002e+00	2.181745e+01
4.656000e+04	-5.460000e+02	9.139000e+03	1.808178e+00	2.216165e+01
4.756000e+04	-6.870000e+02	9.277000e+03	2.153963e+00	2.250620e+01
4.856000e+04	-8.280000e+02	9.413000e+03	2.498348e+00	2.284609e+01
4.956000e+04	-9.710000e+02	9.552000e+03	2.846188e+00	2.319380e+01
5.056000e+04	-1.113000e+03	9.687000e+03	3.190177e+00	2.353178e+01
5.156000e+04	-1.258000e+03	9.826000e+03	3.539975e+00	2.388004e+01
5.256000e+04	-1.403000e+03	9.964000e+03	3.888316e+00	2.422603e+01
5.356000e+04	-1.550000e+03	1.010500e+04	4.239991e+00	2.457977e+01
5.456000e+04	-1.698000e+03	1.024300e+04	4.592583e+00	2.492618e+01
5.556000e+04	-1.847000e+03	1.038400e+04	4.946090e+00	2.528027e+01
5.656100e+04	-1.997000e+03	1.052300e+04	5.300514e+00	2.562948e+01
5.756000e+04	-2.149000e+03	1.066400e+04	5.658215e+00	2.598382e+01
5.856000e+04	-2.301000e+03	1.080200e+04	6.014499e+00	2.633069e+01
5.956000e+04	-2.455000e+03	1.094200e+04	6.374077e+00	2.668263e+01
6.056000e+04	-2.608000e+03	1.107900e+04	6.729990e+00	2.702705e+01
6.156000e+04	-2.764000e+03	1.121600e+04	7.091571e+00	2.737146e+01
6.256000e+04	-2.918000e+03	1.135000e+04	7.447289e+00	2.770828e+01
6.356000e+04	-3.074000e+03	1.148500e+04	7.806452e+00	2.804754e+01
6.456000e+04	-3.228000e+03	1.161600e+04	8.159925e+00	2.837667e+01
6.556000e+04	-3.381000e+03	1.174800e+04	8.510115e+00	2.870819e+01
6.656000e+04	-3.533000e+03	1.187600e+04	8.857117e+00	2.902953e+01
6.756000e+04	-3.686000e+03	1.200500e+04	9.205576e+00	2.935324e+01
6.856000e+04	-3.839000e+03	1.213100e+04	9.553295e+00	2.966923e+01
6.956000e+04	-3.994000e+03	1.225900e+04	9.904894e+00	2.999005e+01
7.056000e+04	-4.148000e+03	1.238300e+04	1.025365e+01	3.030064e+01
7.156000e+04	-4.305000e+03	1.250900e+04	1.060872e+01	3.061601e+01
7.256000e+04	-4.461000e+03	1.263300e+04	1.096113e+01	3.092613e+01
